iter	Passed	Remaining
0	26	2062
1	60	2354
2	116	2993
3	161	3067
4	223	3359
5	275	3403
6	297	3104
7	348	3132
8	397	3135
9	448	3141
10	497	3122
11	559	3172
12	605	3122
13	670	3163
14	718	3114
15	769	3076
16	839	3109
17	894	3081
18	954	3065
19	1013	3041
20	1069	3005
21	1128	2974
22	1176	2915
23	1223	2855
24	1267	2787
25	1325	2753
26	1372	2693
27	1419	2635
28	1462	2572
29	1527	2545
30	1575	2490
31	1624	2437
32	1680	2393
33	1721	2329
34	1779	2287
35	1826	2232
36	1876	2180
37	1931	2134
38	1985	2087
39	2032	2032
40	2079	1978
41	2121	1919
42	2168	1866
43	2208	1806
44	2259	1757
45	2321	1715
46	2369	1663
47	2418	1612
48	2470	1562
49	2520	1512
50	2555	1453
51	2603	1401
52	2655	1352
53	2715	1307
54	2753	1251
55	2797	1198
56	2848	1149
57	2904	1101
58	2956	1052
59	3009	1003
60	3083	960
61	3132	909
62	3183	859
63	3231	807
64	3272	755
65	3324	705
66	3368	653
67	3415	602
68	3456	551
69	3513	501
70	3562	451
71	3611	401
72	3661	351
73	3719	301
74	3764	250
75	3814	200
76	3875	151
77	3918	100
78	3970	50
79	4020	0
