iter	Logloss
0	0.3058197969
1	0.2354682268
2	0.1991990376
3	0.1904778113
4	0.1834325372
5	0.1812563376
6	0.1797099982
7	0.1776605062
8	0.1756934255
9	0.1741564211
10	0.1737289064
11	0.1729430942
12	0.1726066489
13	0.1716379255
14	0.1713582756
15	0.1701239255
16	0.1695709363
17	0.1691698486
18	0.1680995786
19	0.1675454404
20	0.1669121621
21	0.1661512495
22	0.1654673111
23	0.165280089
24	0.1648983146
25	0.164094416
26	0.1636670292
27	0.1633603786
28	0.1632220936
29	0.1626867589
30	0.1622197984
31	0.1617628047
32	0.1610239106
33	0.1605336799
34	0.1601030272
35	0.159389036
36	0.1584198943
37	0.1582452881
38	0.1576516808
39	0.1573233018
40	0.1570885465
41	0.1567358942
42	0.1564937338
43	0.1557739257
44	0.1555749813
45	0.155256921
46	0.1547787179
47	0.1539872549
48	0.1538972578
49	0.1533711793
50	0.1531711772
51	0.1528522909
52	0.1523885104
53	0.151792799
54	0.1509108513
55	0.1507746448
56	0.1503232859
57	0.149692375
58	0.1494217526
59	0.1492454171
60	0.1491110674
61	0.1487649512
62	0.1478464424
63	0.1475250011
64	0.1471925768
65	0.146830725
66	0.1465441092
67	0.1457873735
68	0.1456429519
69	0.1453535008
70	0.1448993584
71	0.1444918554
72	0.1439931247
73	0.1431311291
74	0.1428761249
75	0.1426547948
76	0.1423066674
77	0.1422041072
78	0.1413806147
79	0.1412103917
