iter	Passed	Remaining
0	415	32802
1	719	28054
2	1160	29778
3	1643	31235
4	2093	31405
5	2548	31435
6	2995	31241
7	3453	31081
8	3982	31417
9	4374	30620
10	4799	30105
11	5260	29810
12	5675	29248
13	6064	28587
14	6421	27826
15	6769	27078
16	7124	26402
17	7455	25678
18	7774	24960
19	8216	24650
20	8608	24185
21	9018	23775
22	9384	23258
23	9789	22842
24	10177	22389
25	10609	22034
26	11005	21603
27	11437	21240
28	11860	20858
29	12275	20459
30	12708	20087
31	13120	19680
32	13550	19299
33	13991	18929
34	14414	18533
35	14843	18141
36	15274	17751
37	15709	17362
38	16174	17003
39	16693	16693
40	17131	16295
41	17594	15919
42	18129	15599
43	18582	15203
44	18995	14774
45	19460	14383
46	20016	14054
47	20480	13653
48	20895	13219
49	21365	12819
50	21788	12389
51	22201	11954
52	22588	11507
53	23049	11097
54	23515	10689
55	24006	10288
56	24393	9842
57	24866	9432
58	25260	8990
59	25677	8559
60	26085	8124
61	26500	7693
62	26949	7272
63	27389	6847
64	27868	6431
65	28306	6004
66	28745	5577
67	29289	5168
68	29760	4744
69	30205	4315
70	30676	3888
71	31118	3457
72	31623	3032
73	32138	2605
74	32589	2172
75	32998	1736
76	33448	1303
77	33928	869
78	34429	435
79	34866	0
