iter	Logloss	Accuracy
0	0.3971379079	0.9418271982
1	0.2948071008	0.9418271982
2	0.2485317264	0.9418271982
3	0.2234301236	0.9418271982
4	0.1999099972	0.9428189968
5	0.1911955509	0.9434293344
6	0.185423103	0.943696357
7	0.1818391502	0.944459279
8	0.1789139278	0.9446500095
9	0.1777263845	0.9449170322
10	0.175744879	0.9451077627
11	0.1749519793	0.9456418081
12	0.1747225991	0.9455655159
13	0.1740947181	0.9459469769
14	0.1736484209	0.9460232691
15	0.173430591	0.9463284379
16	0.1726305445	0.9472439443
17	0.1725012682	0.9470913599
18	0.1721484012	0.9470913599
19	0.1717590299	0.9472439443
20	0.1714291373	0.9474346748
21	0.1714095518	0.9473965287
22	0.171247139	0.9474346748
23	0.170883683	0.9472820904
24	0.1702814252	0.9475872592
25	0.169913605	0.9476254053
26	0.1691872066	0.947892428
27	0.1690181259	0.9480068663
28	0.1688740177	0.9479687202
29	0.1681904048	0.9480450124
30	0.1681756593	0.9480450124
31	0.1678867782	0.9481213046
32	0.1677624761	0.948273889
33	0.1675571678	0.9481594507
34	0.1672860808	0.9481594507
35	0.1671240107	0.9485790578
36	0.1667079137	0.9485409117
37	0.1661766911	0.9484264734
38	0.165773017	0.94865535
39	0.1655959309	0.9486172039
40	0.1654595607	0.9486172039
41	0.1653354199	0.9488842266
42	0.165165691	0.9488079344
43	0.1648674121	0.9488460805
44	0.1648559054	0.9488460805
45	0.1644740814	0.9489223727
46	0.1642503629	0.9490749571
47	0.1639402345	0.9490749571
48	0.1639039729	0.9491512493
49	0.1638952489	0.9491512493
