iter	Passed	Remaining
0	130	6384
1	214	5139
2	250	3920
3	288	3314
4	325	2930
5	358	2628
6	400	2460
7	488	2564
8	684	3119
9	784	3136
10	880	3122
11	956	3029
12	996	2836
13	1033	2657
14	1087	2537
15	1150	2445
16	1199	2327
17	1279	2275
18	1393	2273
19	1511	2267
20	1652	2282
21	1755	2234
22	1868	2192
23	1950	2113
24	2005	2005
25	2043	1886
26	2092	1782
27	2136	1678
28	2218	1606
29	2258	1505
30	2292	1405
31	2326	1308
32	2364	1218
33	2399	1129
34	2435	1043
35	2466	959
36	2504	880
37	2547	804
38	2579	727
39	2615	653
40	2651	582
41	2681	510
42	2722	443
43	2760	376
44	2792	310
45	2828	245
46	2864	182
47	2905	121
48	2940	60
49	2974	0
